date,value
Oct-Dec 2009,14.881
Jan-Mar 2010,15.468
Apr-Jun 2010,14.697
July-Sept 2010,15.291
Oct-Dec 2010,15.863
Jan-Mar 2011,15.295
Apr-Jun 2011,15.803
July-Sept 2011,16.902
Oct-Dec 2011,16.459
Jan-Mar 2012,16.212
Apr-Jun 2012,16.202
July-Sept 2012,15.021
Oct-Dec 2012,14.772
Jan-Mar 2013,15.017
Apr-Jun 2013,14.886
July-Sept 2013,14.943
Oct-Dec 2013,14.215
Jan-Mar 2014,13.416
Apr-Jun 2014,13.215
July-Sept 2014,13.284
Oct-Dec 2014,13.348
Jan-Mar 2015,12.851
Apr-Jun 2015,12.656
July-Sept 2015,11.805
Oct-Dec 2015,11.867
Jan-Mar 2016,12.002
Apr-Jun 2016,11.734
July-Sept 2016,11.995
Oct-Dec 2016,11.508
Jan-Mar 2017,11.165
Apr-Jun 2017,11.154
July-Sept 2017,11.255
Oct-Dec 2017,11.257
Jan-Mar 2018,11.362
Apr-Jun 2018,11.116
July-Sept 2018,10.856
Oct-Dec 2018,11.334
Jan-Mar 2019,11.018
Apr-Jun 2019,11.46
July-Sept 2019,11.599
Oct-Dec 2019,11.069
